Timestamp,ANEMOMETER,LOAD CELL
0.0,1.9938492507796628,2.622513846312338
0.09543752670288086,1.98053281087868,2.0112900098506348
0.18996191024780273,2.0271403505842436,2.5788550007813473
0.29975175857543945,2.1469883104988785,2.840808074128124
0.3943192958831787,2.153646530522577,1.9676311644689957
0.488328218460083,1.9871910308276828,2.622513846312338
0.5977447032928467,1.98053281087868,2.4915373097514797
0.6930019855499268,2.00050747073462,2.5788550007813473
0.7878420352935791,1.98053281087868,2.7534903829696207
0.8977527618408203,2.2335451710411824,2.666172691854042
0.9913220405578613,2.047115010502772,1.9676311644689957
1.1009888648986816,2.047115010502772,2.2295842369183774
1.1951911449432373,2.0604314504633816,2.0112900098506348
1.2893331050872803,2.273494491462973,2.7971492285435007
1.3995537757873535,2.3134438119933574,2.622513846312338
1.4930639266967773,2.2868109316276914,2.7971492285435007
1.5879318714141846,2.2402033911039503,2.622513846312338
1.6967811584472656,2.280152711543826,2.404219618764393
1.789818525314331,2.573114398101552,2.622513846312338
1.8995530605316162,2.5198486364711865,1.9676311644689957
1.9934327602386475,2.579772618319099,2.535196155261061
2.1019692420959473,2.7928356669008103,2.7534903829696207
2.1961817741394043,3.0125569390635576,2.622513846312338
2.2894017696380615,2.90602541274432,2.4478784642525913
2.3987693786621094,2.9526329554109765,3.015443456574106
2.492920160293579,3.132404907127345,2.1422665460593455
2.58737850189209,2.9592911758043616,2.4478784642525913
2.6958248615264893,2.972607616600472,2.7971492285435007
2.7889904975891113,3.0458480412018947,2.404219618764393
2.8977530002593994,3.218961773582741,2.709831537406467
2.9914493560791016,3.0458480412018947,2.7971492285435007
3.0997533798217773,3.0591644820790886,2.2732430823638756
3.191912889480591,3.2389364351479255,2.2732430823638756
3.302217960357666,3.11243024571297,1.7493369377200265
3.3978941440582275,3.1523795685699394,2.666172691854042
3.4929990768432617,3.232278214623049,2.316901927820041
3.6019463539123535,3.338809743399663,1.92397231909798
3.698852777481079,3.179012450537348,2.7534903829696207
3.792755603790283,3.1923288915399013,2.3605607732868794
3.8878111839294434,3.345467963975061,2.666172691854042
3.9989800453186035,3.1856706710370535,2.3605607732868794
4.094244003295898,3.2455946556759514,2.2295842369183774
4.190513849258423,3.2256199941013204,2.4478784642525913
4.30150580406189,3.385417287493949,2.840808074128124
4.396539926528931,3.1856706710370535,1.7493369377200265
4.490363836288452,3.1923288915399013,2.4478784642525913
4.598661184310913,3.338809743399663,2.7534903829696207
4.693016529083252,3.132404907127345,2.404219618764393
4.787824630737305,3.2056453325550294,2.622513846312338
4.8990020751953125,3.0724809229687864,1.4873838659707372
4.992809057235718,3.292202199460437,2.054948855242901
5.102013349533081,3.1656960095473643,2.5788550007813473
5.196152448654175,3.179012450537348,1.4437250207161707
5.290507555007935,3.325493302258362,2.404219618764393
5.402004241943359,3.252252876207132,2.316901927820041
5.497920751571655,3.2455946556759514,2.4915373097514797
5.592449188232422,3.1856706710370535,1.9676311644689957
5.6873698234558105,3.338809743399663,1.8366546283877927
5.797836065292358,3.1923288915399013,2.622513846312338
5.892300605773926,3.1856706710370535,2.054948855242901
6.0018885135650635,3.392075508091523,2.535196155261061
6.0972816944122314,3.358784405135353,2.840808074128124
6.191616535186768,3.358784405135353,2.840808074128124
6.301459550857544,3.538556362042291,2.4478784642525913
6.394764423370361,3.4653159348743916,2.7971492285435007
6.490264415740967,3.4253666111269947,2.4478784642525913
6.600295066833496,3.631771451723875,2.3605607732868794
6.69404935836792,3.6117967895964522,2.5788550007813473
6.79035758972168,3.6251132310115306,2.0112900098506348
6.899561166763306,3.7582776458684837,1.9676311644689957
6.994548082351685,3.7116701005222925,2.535196155261061
7.088132381439209,3.7649358666451107,1.9676311644689957
7.1996049880981445,3.898100282855829,2.7971492285435007
7.294371843338013,3.77159408742496,1.8803134737375835
7.387732028961182,3.824859853779918,2.3605607732868794
7.497803211212158,3.9047585037003447,2.7534903829696207
7.592062711715698,3.7316447627942004,1.4873838659707372
7.702406644821167,3.7050118797714227,2.098607700645803
7.7965428829193115,3.8914420620145513,2.622513846312338
7.892256259918213,3.7449612043249,2.316901927820041
8.001951694488525,3.7982269705766107,2.1422665460593455
8.0952308177948,3.898100282855829,2.840808074128124
8.190966367721558,3.858150957856777,2.4478784642525913
8.302059412002563,4.057897584021232,2.7971492285435007
8.395467281341553,3.7982269705766107,1.6183604017977995
8.490476369857788,3.8514927370349348,2.709831537406467
8.600151777267456,3.9513660497028287,2.316901927820041
8.694502353668213,3.977998933204292,2.2732430823638756
8.788821697235107,3.6850372175381043,2.0112900098506348
8.898097515106201,3.7582776458684837,2.709831537406467
8.990703105926514,3.7582776458684837,2.2732430823638756
9.101903676986694,3.5984803481941814,2.5788550007813473
9.195246458053589,3.7516194250950825,1.4437250207161707
9.289058446884155,3.618455010302389,2.404219618764393
9.39778470993042,3.69835365902377,3.102761147861683
9.49266266822815,3.824859853779918,2.666172691854042
9.587467432022095,3.7582776458684837,2.8844669197234856
9.69804835319519,3.804885191372593,2.928125765329601
9.791941404342651,4.011290037654325,2.2295842369183774
9.901271104812622,3.9047585037003447,3.0591023022125077
9.994292974472046,4.044581142185807,2.7971492285435007
10.088289976119995,4.171087340150294,2.840808074128124
10.19876480102539,3.964682491447057,2.9717846109464725
10.292946815490723,3.898100282855829,2.4915373097514797
10.387331247329712,4.111163351493582,3.2337376848739163
10.497202396392822,3.9513660497028287,3.626667296494399
10.591228485107422,4.12447979339437,2.928125765329601
10.701436758041382,4.031264700363433,4.718138444510989
10.795449018478394,3.977998933204292,5.8532684457458375
